Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_log,Attrition_Encoded,Overtime_Encoded,bt,IncomeBin,Attrition_Risk,AtRiskFlag
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,9.074176947163311,0,0,2,"(7339.0, 10504.0]",0.056298665089476174,0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,8.297045149081827,0,0,2,"(990.01, 4174.0]",0.025128355496483897,0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,9.880525940898782,1,0,1,"(16834.0, 19999.0]",0.028608206667283347,0
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,8.427049641563272,0,0,0,"(4174.0, 7339.0]",0.09803794296531616,0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,8.014004994779459,0,0,1,"(990.01, 4174.0]",0.36729771261328853,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,8.660947155060933,0,1,2,"(4174.0, 7339.0]",0.25927593437626795,0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,7.727535110475448,0,0,1,"(990.01, 4174.0]",0.019700786742942063,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,8.590815331286851,1,1,1,"(4174.0, 7339.0]",0.48779078909320184,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,8.143807976771484,1,1,1,"(990.01, 4174.0]",0.43668662499814037,0
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,8.604287898267172,0,1,1,"(4174.0, 7339.0]",0.26039969549515,0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,9.198773735604718,0,1,0,"(7339.0, 10504.0]",0.15550619053540302,0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,8.332789468417959,0,1,1,"(990.01, 4174.0]",0.737212828226773,1
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,9.507403306233716,0,1,2,"(10504.0, 13669.0]",0.16688532906994874,0
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,9.112727543109182,0,0,2,"(7339.0, 10504.0]",0.12725655933338845,0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,8.297792626380861,0,1,1,"(990.01, 4174.0]",0.45024766431195085,0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,8.68541582383069,0,0,1,"(4174.0, 7339.0]",0.004621005609019818,0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,8.69851424787661,0,0,1,"(4174.0, 7339.0]",0.00861577224060028,0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,8.726318950962243,0,1,1,"(4174.0, 7339.0]",0.1374625711491559,0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,7.786136437783072,0,0,2,"(990.01, 4174.0]",0.277295969799311,0
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,9.838468916161679,0,1,1,"(16834.0, 19999.0]",0.18171048421332253,0
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,8.940891067785461,0,0,1,"(7339.0, 10504.0]",0.08836526167153715,0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,9.219993629004321,0,0,1,"(7339.0, 10504.0]",0.00536990352854302,0
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,9.59947282546345,0,1,1,"(13669.0, 16834.0]",0.004289772000029602,0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,8.779557455883728,0,0,2,"(4174.0, 7339.0]",0.15705608057173231,0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,9.182455168486648,0,0,1,"(7339.0, 10504.0]",0.004169842400146841,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,7.693937325509272,0,0,2,"(990.01, 4174.0]",0.37770404868658247,0
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,8.128290171607052,1,1,1,"(990.01, 4174.0]",0.3899937362217924,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,8.607764889600624,0,0,2,"(4174.0, 7339.0]",0.1724379879423295,0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,7.902487437162855,0,0,1,"(990.01, 4174.0]",0.011030485184135446,0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,7.824845691026856,0,0,1,"(990.01, 4174.0]",0.10702639205895226,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,8.73568594451502,0,0,1,"(4174.0, 7339.0]",0.0064300433416921935,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,8.019283792916793,0,0,1,"(990.01, 4174.0]",0.07500400203521723,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,8.39502555744203,0,0,1,"(4174.0, 7339.0]",0.007341989270683835,0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,8.369388996647842,0,0,1,"(4174.0, 7339.0]",0.06385646391070622,0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,9.491450899044924,0,1,1,"(10504.0, 13669.0]",0.09513797944861342,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,9.522593098362169,0,0,1,"(10504.0, 13669.0]",0.07235941836849491,0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,8.52158353971753,0,1,1,"(4174.0, 7339.0]",0.05787634198056905,0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,8.5422759717837,0,1,1,"(4174.0, 7339.0]",0.10406513554910757,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,7.958576903813898,0,0,1,"(990.01, 4174.0]",0.0806564587854159,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,9.234056898593499,0,0,1,"(7339.0, 10504.0]",0.007783612793986924,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,8.58110651715989,0,1,0,"(4174.0, 7339.0]",0.009235541739048253,0
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,8.372398606513004,0,0,1,"(4174.0, 7339.0]",0.06440086989575815,0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,8.890272839380247,0,0,1,"(4174.0, 7339.0]",0.006369778748704166,0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,7.750614732770409,0,0,1,"(990.01, 4174.0]",0.2491819388281877,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,7.638198244285779,0,0,1,"(990.01, 4174.0]",0.015156206307185935,0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,8.331586243630754,0,0,1,"(990.01, 4174.0]",0.0369206752927933,0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,9.171599543659752,1,0,1,"(7339.0, 10504.0]",0.021388696404243113,0
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,9.510741216835738,0,0,2,"(10504.0, 13669.0]",0.08035491653064877,0
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,8.601901919343192,0,1,1,"(4174.0, 7339.0]",0.23934020119610916,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,8.558335134747413,0,1,1,"(4174.0, 7339.0]",0.06673603838360909,0
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,9.27556615689389,0,1,2,"(10504.0, 13669.0]",0.338555313863426,0
32,No,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,8.519390774959724,0,0,1,"(4174.0, 7339.0]",0.14093078948612608,0
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,9.514141826307847,0,0,1,"(10504.0, 13669.0]",0.03698447047796793,0
24,No,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,8.517193191416238,0,0,1,"(4174.0, 7339.0]",0.1269421954888432,0
28,No,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,8.348064228408266,0,0,0,"(4174.0, 7339.0]",0.03531426146788134,0
58,No,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,9.537699784080726,0,0,1,"(13669.0, 16834.0]",0.0023181242645428225,0
44,No,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,7.622174594817622,0,0,0,"(990.01, 4174.0]",0.06714775354384205,0
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,7.637234388789473,1,1,1,"(990.01, 4174.0]",0.22474443499230187,0
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,7.9919305198524775,0,0,1,"(990.01, 4174.0]",0.06748134423580274,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0,7.9817332866918855,1,1,2,"(990.01, 4174.0]",0.6390581792027074,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10,8.478452363099807,0,0,1,"(4174.0, 7339.0]",0.009462500297390482,0
